"STATUS","AG","TL","AE","WT","BH","HL","FL","TT","SK","KL"
"Survived",1,154,241,24.5,31.200000762939453,.6869999766349792,.6679999828338623,1.0219999551773071,.5870000123977661,.8299999833106995
"Survived",1,160,252,26.899999618530273,30.799999237060547,.7360000014305115,.7089999914169312,1.1799999475479126,.6019999980926514,.8410000205039978
"Survived",1,155,243,26.899999618530273,30.600000381469727,.7329999804496765,.7039999961853027,1.1510000228881836,.6019999980926514,.8460000157356262
"Survived",1,154,245,24.299999237060547,31.700000762939453,.7409999966621399,.6880000233650208,1.1460000276565552,.5839999914169312,.8389999866485596
"Survived",1,156,247,24.100000381469727,31.5,.7149999737739563,.7059999704360962,1.128999948501587,.574999988079071,.8209999799728394
"Survived",1,161,253,26.5,31.799999237060547,.7799999713897705,.7429999709129333,1.1440000534057617,.6069999933242798,.8930000066757202
"Survived",1,157,251,24.600000381469727,31.100000381469727,.7409999966621399,.7360000014305115,1.152999997138977,.6100000143051147,.8619999885559082
"Survived",1,159,247,24.200000762939453,31.399999618530273,.7279999852180481,.7179999947547913,1.1260000467300415,.609000027179718,.7929999828338623
"Survived",1,158,247,23.600000381469727,29.799999237060547,.703000009059906,.6729999780654907,1.0789999961853027,.6019999980926514,.8199999928474426
"Survived",1,158,252,26.200000762939453,32,.7490000128746033,.7390000224113464,1.152999997138977,.6140000224113464,.8569999933242798
"Survived",1,160,252,26.200000762939453,32,.7409999966621399,.7229999899864197,1.128999948501587,.6240000128746033,.8920000195503235
"Survived",1,162,253,24.799999237060547,32.29999923706055,.765999972820282,.7519999742507935,1.1339999437332153,.6330000162124634,.9229999780654907
"Survived",1,161,243,25.399999618530273,31.799999237060547,.7210000157356262,.722000002861023,1.1260000467300415,.597000002861023,.890999972820282
"Survived",1,160,250,23.700000762939453,29.799999237060547,.7300000190734863,.703000009059906,1.1030000448226929,.5899999737739563,.8199999928474426
"Survived",1,159,247,25.700000762939453,31.399999618530273,.7289999723434448,.7170000076293945,1.1410000324249268,.5920000076293945,.9269999861717224
"Survived",1,158,253,25.700000762939453,31.899999618530273,.7429999709129333,.6990000009536743,1.149999976158142,.6000000238418579,.8600000143051147
"Survived",1,159,247,26.5,31.600000381469727,.7329999804496765,.7139999866485596,1.1549999713897705,.6110000014305115,.9229999780654907
"Survived",1,166,253,26.700000762939453,32.5,.7670000195503235,.7649999856948853,1.2300000190734863,.6000000238418579,.878000020980835
"Survived",1,159,247,23.899999618530273,31.399999618530273,.7519999742507935,.7229999899864197,1.1130000352859497,.6019999980926514,.824999988079071
"Survived",1,160,248,24.700000762939453,31.299999237060547,.7519999742507935,.7369999885559082,1.1759999990463257,.6029999852180481,.8029999732971191
"Survived",1,161,252,28,31.799999237060547,.7699999809265137,.7310000061988831,1.190000057220459,.5899999737739563,.8849999904632568
"Survived",1,163,251,27.899999618530273,31.899999618530273,.7689999938011169,.7450000047683716,1.1679999828338623,.621999979019165,.8600000143051147
"Survived",1,156,242,25.899999618530273,32,.7229999899864197,.7110000252723694,1.1160000562667847,.609000027179718,.8859999775886536
"Survived",1,165,251,25.700000762939453,32.20000076293945,.7509999871253967,.7419999837875366,1.1610000133514404,.6129999756813049,.8650000095367432
"Survived",1,160,247,26.600000381469727,32.400001525878906,.7279999852180481,.7070000171661377,1.1080000400543213,.5899999737739563,.8360000252723694
"Survived",1,158,244,23.200000762939453,31.600000381469727,.7300000190734863,.7129999995231628,1.1419999599456787,.5849999785423279,.8880000114440918
"Survived",1,160,242,25.700000762939453,31.600000381469727,.7089999914169312,.7049999833106995,1.1239999532699585,.6200000047683716,.7879999876022339
"Survived",1,157,245,26.299999237060547,32.20000076293945,.7409999966621399,.7260000109672546,1.1430000066757202,.5950000286102295,.8500000238418579
"Survived",1,159,244,24.299999237060547,31.5,.7229999899864197,.6980000138282776,1.1069999933242798,.6150000095367432,.847000002861023
"Survived",1,160,253,26.700000762939453,32.099998474121094,.7390000224113464,.7139999866485596,1.1169999837875366,.5920000076293945,.8640000224113464
"Survived",1,158,245,24.899999618530273,31.399999618530273,.7260000109672546,.703000009059906,1.11899995803833,.5799999833106995,.8539999723434448
"Survived",1,161,247,23.799999237060547,31.399999618530273,.7350000143051147,.6940000057220459,1.1009999513626099,.6019999980926514,.7799999713897705
"Survived",1,160,247,25.600000381469727,32.29999923706055,.7559999823570251,.7450000047683716,1.1349999904632568,.6069999933242798,.9020000100135803
"Survived",1,160,247,27,32,.7549999952316284,.7360000014305115,1.1740000247955322,.6309999823570251,.8730000257492065
"Survived",1,153,241,24.700000762939453,32.20000076293945,.7279999852180481,.6800000071525574,1.0920000076293945,.5920000076293945,.8840000033378601
"Perished",1,165,249,26.5,31,.7379999756813049,.7039999961853027,1.0950000286102295,.6060000061988831,.847000002861023
"Perished",1,160,245,26.100000381469727,32,.7360000014305115,.7089999914169312,1.1089999675750732,.6110000014305115,.8420000076293945
"Perished",1,161,249,25.600000381469727,32.29999923706055,.7429999709129333,.7179999947547913,1.128000020980835,.6019999980926514,.828000009059906
"Perished",1,162,246,25.899999618530273,32.29999923706055,.7379999756813049,.7089999914169312,1.1349999904632568,.6069999933242798,.8690000176429749
"Perished",1,163,250,25.5,32.5,.7519999742507935,.7310000061988831,1.1970000267028809,.6230000257492065,.8880000114440918
