"YEAR","TEMP"
1880,-.3100000023841858
1881,-.27000001072883606
1882,-.3100000023841858
1883,-.38999998569488525
1884,-.47999998927116394
1885,-.4099999964237213
1886,-.3199999928474426
1887,-.4300000071525574
1888,-.3700000047683716
1889,-.2199999988079071
1890,-.44999998807907104
1891,-.3799999952316284
1892,-.4000000059604645
1893,-.4300000071525574
1894,-.3499999940395355
1895,-.28999999165534973
1896,-.10000000149011612
1897,-.07999999821186066
1898,-.27000001072883606
1899,-.11999999731779099
1900,.009999999776482582
1901,-.07999999821186066
1902,-.17000000178813934
1903,-.30000001192092896
1904,-.38999998569488525
1905,-.25
1906,-.15000000596046448
1907,-.3499999940395355
1908,-.3400000035762787
1909,-.25
1910,-.25
1911,-.30000001192092896
1912,-.20999999344348907
1913,-.20999999344348907
1914,-.09000000357627869
1915,0
1916,-.20999999344348907
1917,-.4000000059604645
1918,-.28999999165534973
1919,-.1599999964237213
1920,-.17000000178813934
1921,-.11999999731779099
1922,-.20000000298023224
1923,-.18000000715255737
1924,-.1899999976158142
1925,-.11999999731779099
1926,.07000000029802322
1927,-.03999999910593033
1928,-.05000000074505806
1929,-.2199999988079071
1930,-.029999999329447746
1931,.05000000074505806
1932,-.009999999776482582
1933,-.10999999940395355
1934,-.019999999552965164
1935,-.05999999865889549
1936,-.019999999552965164
1937,.10000000149011612
1938,.14000000059604645
1939,.03999999910593033
1940,.03999999910593033
1941,.07000000029802322
1942,.009999999776482582
1943,0
1944,.15000000596046448
1945,.05999999865889549
1946,-.07999999821186066
1947,-.05000000074505806
1948,-.05999999865889549
1949,-.05999999865889549
1950,-.12999999523162842
1951,-.019999999552965164
1952,.07000000029802322
1953,.10999999940395355
1954,-.12999999523162842
1955,-.14000000059604645
1956,-.23000000417232513
1957,.07000000029802322
1958,.11999999731779099
1959,.05000000074505806
1960,0
1961,.10999999940395355
1962,.10000000149011612
1963,.10999999940395355
1964,-.15000000596046448
1965,-.11999999731779099
1966,-.019999999552965164
1967,-.03999999910593033
1968,-.07999999821186066
1969,.07999999821186066
1970,.05000000074505806
1971,-.10000000149011612
1972,.019999999552965164
1973,.15000000596046448
1974,-.10999999940395355
1975,-.07999999821186066
1976,-.20999999344348907
1977,.10000000149011612
1978,.029999999329447746
1979,.11999999731779099
1980,.18000000715255737
1981,.23999999463558197
1982,.09000000357627869
1983,.3100000023841858
1984,.10000000149011612
1985,.07000000029802322
1986,.1599999964237213
1987,.33000001311302185
