"PERCENT","JUDGE"
6.400000095367432,"SPOCK'S"
8.699999809265137,"SPOCK'S"
13.300000190734863,"SPOCK'S"
13.600000381469727,"SPOCK'S"
15,"SPOCK'S"
15.199999809265137,"SPOCK'S"
17.700000762939453,"SPOCK'S"
18.600000381469727,"SPOCK'S"
23.100000381469727,"SPOCK'S"
16.799999237060547,"A"
30.799999237060547,"A"
33.599998474121094,"A"
40.5,"A"
48.900001525878906,"A"
27,"B"
28.899999618530273,"B"
32,"B"
32.70000076293945,"B"
35.5,"B"
45.599998474121094,"B"
21,"C"
23.399999618530273,"C"
27.5,"C"
27.5,"C"
30.5,"C"
31.899999618530273,"C"
32.5,"C"
33.79999923706055,"C"
33.79999923706055,"C"
24.299999237060547,"D"
29.700000762939453,"D"
17.700000762939453,"E"
19.700000762939453,"E"
21.5,"E"
27.899999618530273,"E"
34.79999923706055,"E"
40.20000076293945,"E"
16.5,"F"
20.700000762939453,"F"
23.5,"F"
26.399999618530273,"F"
26.700000762939453,"F"
29.5,"F"
29.799999237060547,"F"
31.899999618530273,"F"
36.20000076293945,"F"
