"UNAFFECT","AFFECTED"
1.940000057220459,1.2699999809265137
1.440000057220459,1.6299999952316284
1.559999942779541,1.4700000286102295
1.5800000429153442,1.3899999856948853
2.059999942779541,1.9299999475479126
1.659999966621399,1.2599999904632568
1.75,1.7100000381469727
1.7699999809265137,1.6699999570846558
1.7799999713897705,1.2799999713897705
1.9199999570846558,1.850000023841858
1.25,1.0199999809265137
1.9299999475479126,1.340000033378601
2.0399999618530273,2.0199999809265137
1.6200000047683716,1.590000033378601
2.0799999237060547,1.9700000286102295
