"OXYGEN","BONEGRP"
11.100000381469727,"Bone1"
11.220000267028809,"Bone1"
11.289999961853027,"Bone1"
11.489999771118164,"Bone1"
11.319999694824219,"Bone2"
11.399999618530273,"Bone2"
11.710000038146973,"Bone2"
11.600000381469727,"Bone3"
11.779999732971191,"Bone3"
12.050000190734863,"Bone3"
10.609999656677246,"Bone4"
10.880000114440918,"Bone4"
11.119999885559082,"Bone4"
11.239999771118164,"Bone4"
11.430000305175781,"Bone4"
10.920000076293945,"Bone5"
11.199999809265137,"Bone5"
11.300000190734863,"Bone5"
11.619999885559082,"Bone5"
11.699999809265137,"Bone5"
11.699999809265137,"Bone6"
11.789999961853027,"Bone6"
11.90999984741211,"Bone6"
12.149999618530273,"Bone6"
11.329999923706055,"Bone7"
11.40999984741211,"Bone7"
11.619999885559082,"Bone7"
12.149999618530273,"Bone7"
12.300000190734863,"Bone7"
11.319999694824219,"Bone8"
11.649999618530273,"Bone8"
11.960000038146973,"Bone8"
12.149999618530273,"Bone8"
11.539999961853027,"Bone9"
11.890000343322754,"Bone9"
12.039999961853027,"Bone9"
10.930000305175781,"Bone10"
11.010000228881836,"Bone10"
11.079999923706055,"Bone10"
11.119999885559082,"Bone10"
11.279999732971191,"Bone10"
11.369999885559082,"Bone10"
11.350000381469727,"Bone11"
11.430000305175781,"Bone11"
11.5,"Bone11"
11.569999694824219,"Bone11"
11.920000076293945,"Bone11"
11.949999809265137,"Bone12"
12.010000228881836,"Bone12"
12.25,"Bone12"
12.300000190734863,"Bone12"
12.390000343322754,"Bone12"
