"REMOVED","DURATION","BEE"
.07000000029802322,2,"QUEEN"
.10000000149011612,5,"QUEEN"
.10999999940395355,7,"QUEEN"
.11999999731779099,11,"QUEEN"
.15000000596046448,12,"QUEEN"
.1899999976158142,11,"QUEEN"
.2800000011920929,9,"QUEEN"
.3100000023841858,9,"QUEEN"
.30000001192092896,16,"QUEEN"
.3400000035762787,17,"QUEEN"
.3499999940395355,12,"QUEEN"
.38999998569488525,14,"QUEEN"
.3799999952316284,23,"QUEEN"
.4000000059604645,35,"QUEEN"
.41999998688697815,21,"QUEEN"
.4000000059604645,10,"QUEEN"
.4099999964237213,9,"QUEEN"
.41999998688697815,7,"QUEEN"
.47999998927116394,11,"QUEEN"
.47999998927116394,13,"QUEEN"
.4699999988079071,14,"QUEEN"
.49000000953674316,16,"QUEEN"
.5,14,"QUEEN"
.5099999904632568,17,"QUEEN"
.5299999713897705,22,"QUEEN"
.5799999833106995,13,"QUEEN"
.5899999737739563,13,"QUEEN"
.6499999761581421,12,"QUEEN"
.6000000238418579,19,"QUEEN"
.6000000238418579,23,"QUEEN"
.6899999976158142,21,"QUEEN"
.699999988079071,27,"QUEEN"
.699999988079071,28,"QUEEN"
.5099999904632568,58,"QUEEN"
.699999988079071,15,"QUEEN"
.2800000011920929,3,"WORKER"
.3700000047683716,12,"WORKER"
.5199999809265137,10,"WORKER"
.6499999761581421,17,"WORKER"
.7599999904632568,24,"WORKER"
.8899999856948853,33,"WORKER"
.7400000095367432,44,"WORKER"
.699999988079071,46,"WORKER"
.7900000214576721,48,"WORKER"
.7799999713897705,51,"WORKER"
.7400000095367432,64,"WORKER"
.7699999809265137,78,"WORKER"
