"ZIP","FIRE","THEFT","AGE","INCOME","RACE","VOL","INVOL"
26,6.199999809265137,29,60.400001525878906,11744,10,5.300000190734863,0
40,9.5,44,76.5,9323,22.200000762939453,3.0999999046325684,.10000000149011612
13,10.5,36,73.5,9948,19.600000381469727,4.800000190734863,1.2000000476837158
57,7.699999809265137,37,66.9000015258789,10656,17.299999237060547,5.699999809265137,.5
14,8.600000381469727,53,81.4000015258789,9730,24.5,5.900000095367432,.699999988079071
10,34.099998474121094,68,52.599998474121094,8231,54,4,.30000001192092896
11,11,75,42.599998474121094,21480,4.900000095367432,17.899999618530273,0
25,6.900000095367432,18,78.5,11104,7.099999904632568,6.900000095367432,0
18,7.300000190734863,31,90.0999984741211,10694,5.300000190734863,7.599999904632568,.4000000059604645
47,15.100000381469727,25,89.80000305175781,9631,21.5,3.0999999046325684,1.100000023841858
22,29.100000381469727,34,82.69999694824219,7995,43.099998474121094,1.2999999523162842,1.899999976158142
31,2.200000047683716,14,40.20000076293945,13722,1.100000023841858,14.300000190734863,0
46,5.699999809265137,11,27.899999618530273,16250,1,12.100000381469727,0
56,2,11,7.699999809265137,13686,1.7000000476837158,10.899999618530273,0
30,2.5,22,63.79999923706055,12405,1.600000023841858,10.699999809265137,0
34,3,17,51.20000076293945,12198,1.5,13.800000190734863,0
41,5.400000095367432,27,85.0999984741211,11600,1.7999999523162842,8.899999618530273,0
35,2.200000047683716,9,44.400001525878906,12765,1,11.5,0
39,7.199999809265137,29,84.19999694824219,11084,2.5,8.5,.20000000298023224
51,15.100000381469727,30,89.80000305175781,10510,13.399999618530273,5.199999809265137,.800000011920929
44,16.5,40,72.69999694824219,9784,59.79999923706055,2.700000047683716,.800000011920929
24,18.399999618530273,32,72.9000015258789,7342,94.4000015258789,1.2000000476837158,1.7999999523162842
12,36.20000076293945,41,63.099998474121094,6565,86.19999694824219,.800000011920929,1.7999999523162842
7,39.70000076293945,47,83,7459,50.20000076293945,5.199999809265137,.8999999761581421
23,18.5,22,78.30000305175781,8014,74.19999694824219,1.7999999523162842,1.899999976158142
8,23.299999237060547,29,79,8177,55.5,2.0999999046325684,1.5
16,12.199999809265137,46,48,8212,62.29999923706055,3.4000000953674316,.6000000238418579
32,5.599999904632568,23,71.5,11230,4.400000095367432,8,.30000001192092896
9,21.799999237060547,4,73.0999984741211,8330,46.20000076293945,2.5999999046325684,1.2999999523162842
53,21.600000381469727,31,65,5583,99.69999694824219,.5,.8999999761581421
15,9,39,75.4000015258789,8564,73.5,2.700000047683716,.4000000059604645
38,3.5999999046325684,15,20.799999237060547,12102,10.699999809265137,9.100000381469727,0
29,5,32,61.79999923706055,11876,1.5,11.600000381469727,0
36,28.600000381469727,27,78.0999984741211,9742,48.79999923706055,4,1.399999976158142
21,17.399999618530273,32,68.5999984741211,7520,98.9000015258789,1.7000000476837158,2.200000047683716
37,11.300000190734863,34,73.4000015258789,7388,90.5999984741211,1.899999976158142,.800000011920929
52,3.4000000953674316,17,2,13842,1.399999976158142,12.899999618530273,0
20,11.899999618530273,46,57,11040,71.19999694824219,4.800000190734863,.8999999761581421
19,10.5,42,55.900001525878906,10332,94.0999984741211,6.599999904632568,.8999999761581421
49,10.699999809265137,43,67.5,10908,66.0999984741211,3.0999999046325684,.4000000059604645
17,10.800000190734863,34,58,11156,36.400001525878906,7.800000190734863,.8999999761581421
55,4.800000190734863,19,15.199999809265137,13323,1,13,0
43,10.399999618530273,25,40.79999923706055,12960,42.5,10.199999809265137,.5
28,15.600000381469727,28,57.79999923706055,11260,35.099998474121094,7.5,1
27,7,3,11.399999618530273,10080,47.400001525878906,7.699999809265137,.20000000298023224
33,7.099999904632568,23,49.20000076293945,11428,34,11.600000381469727,.30000001192092896
45,4.900000095367432,27,46.599998474121094,13731,3.0999999046325684,10.899999618530273,0
