"STATE","M/V:89","M/V:96","M/V:97","M/V:98","M/V:99"
"Alabama",.9694244604316546,.9876106194690265,.9893048128342246,.9928825622775801,.9893048128342246
"Alaska",.9730250481695568,.9846449136276392,.9942307692307693,.9980806142034548,.9961240310077519
"Arizona",.990530303030303,.9923809523809524,.9980879541108987,1.0057142857142858,1.001908396946565
"Arkansas",.979890310786106,.9892086330935251,.9841269841269841,.977112676056338,.9875666074600356
"California",1.0220883534136547,1.0323232323232323,1.0362903225806452,1.0382293762575452,1.0342052313883299
"Colorado",.9925093632958801,1.0037313432835822,1.0055970149253732,1.0093109869646182,1.007462686567164
"Connecticut",.97265625,.9940828402366864,.9960707269155207,.9980392156862745,.9980392156862745
"Delaware",.96484375,.9744094488188977,.9861386138613861,.9840319361277445,.9880715705765407
"D.C.",.9688149688149689,.967280163599182,.9693877551020408,.9754098360655737,.9676113360323887
"Florida",.993963782696177,.9959839357429718,1,1.002,.9979959919839679
"Georgia",.9916492693110647,.9855371900826446,.9897119341563786,.9917695473251029,.9897330595482546
"Hawaii",1.0518672199170125,1.0515463917525774,1.0515463917525774,1.062111801242236,1.0643153526970954
"Idaho",.966728280961183,.9871086556169429,.9908088235294118,.998165137614679,.996309963099631
"Illinois",1.0037243947858474,1.0195035460992907,1.0284697508896796,1.0301418439716312,1.0281195079086116
"Indiana",.9938775510204082,1,1.0060728744939271,1.0060362173038229,1.0040322580645162
"Iowa",1,1.0169491525423728,1.0203735144312394,1.0134907251264755,1.0067340067340067
"Kansas",.9859402460456942,.9861830742659758,.9948096885813149,1.0051546391752577,.9965397923875432
"Kentucky",.9764492753623188,.9908925318761385,.9963503649635036,1.0054844606946984,1
"Louisiana",.9726775956284153,.9838998211091234,.9875,.9928825622775801,.9946524064171123
"Maine",.9704724409448819,.9880952380952381,.9940828402366864,.9940476190476191,.9921104536489151
"Maryland",.9901960784313726,.9940828402366864,1,1.0039525691699605,1
"Massachusetts",.9803536345776032,.9940828402366864,1,1,1
"Michigan",1,1.014362657091562,1.0161579892280073,1.0197132616487454,1.014362657091562
"Minnesota",1,1.0189003436426116,1.0171821305841924,1.0222222222222221,1.0204778156996588
"Mississippi",.979890310786106,.9789103690685413,.9717813051146384,.9768683274021353,.9733570159857904
"Missouri",.9853479853479854,.9982456140350877,1.001763668430335,1.0052631578947369,1
"Montana",.9944954128440368,1.0018315018315018,1.0055045871559634,1.0055248618784531,1.001834862385321
"Nebraska",.99644128113879,1.001763668430335,1.00355871886121,1.0106194690265486,1.005281690140845
"Nevada",.9922480620155039,.9980314960629921,1.0019685039370079,1.0058823529411764,1.009765625
"New Hampshire",.9732824427480916,.9884615384615385,.9942418426103646,.994263862332696,.9961538461538462
"New Jersey",.994,1.0040160642570282,1.0221327967806841,1.0221327967806841,1.0240963855421688
"New Mexico",.985663082437276,.9891696750902527,.983754512635379,.9945848375451264,.9872495446265938
"New York",1.002020202020202,1.0040241448692153,1.0141414141414142,1.0161616161616163,1.0141414141414142
"North Carolina",.989451476793249,.9918367346938776,.9959183673469387,1.0040816326530613,1
"North Dakota",1.0121951219512195,1.00503355704698,1.0119047619047619,1.0152542372881357,1.0185185185185186
"Ohio",.9848484848484849,.9981343283582089,1.0018691588785047,1.007462686567164,1.0636704119850187
"Oklahoma",.9783393501805054,.9840989399293286,.9859154929577465,.9929577464788732,.9876543209876543
"Oregon",.9807321772639692,.9961759082217974,.9980952380952381,1,1
"Pennsylvania",.9780439121756487,.9879518072289156,.9939759036144579,.9959758551307847,.9939759036144579
"Rhode Island",.9723320158102767,.9800399201596807,.9879759519038076,.9880239520958084,.9900793650793651
"South Carolina",.9852941176470589,.9875,.9895615866388309,.9895397489539749,.9916492693110647
"South Dakota",.9773123909249564,.9860627177700348,.9930313588850174,.9948630136986302,1.005128205128205
"Tennessee",.966131907308378,.9804618117229129,.9858156028368794,.9875886524822695,.9892665474060823
"Texas",.9959349593495935,1.0101010101010102,1.01417004048583,1.01417004048583,1.0101214574898785
"Utah",.9702797202797203,.9862778730703259,.9895833333333334,.9965034965034965,.9964912280701754
"Vermont",.970703125,.9881422924901185,.9881889763779528,.9921259842519685,.9844357976653697
"Virginia",.9822485207100592,.9783037475345168,.9822134387351779,.9842209072978304,.9822834645669292
"Washington",.982824427480916,1,1,1.0038167938931297,1.0019047619047619
"West Virginia",.9809523809523809,.9619771863117871,.9694656488549618,.9771428571428571,.9715370018975332
"Wisconsin",1.0018083182640145,1.0155979202772965,1.0189982728842832,1.0223752151462995,1.018835616438356
"Wyoming",.9981412639405205,1,1,.9963503649635036,1.0091575091575091
