"TIME","VOLTAGE","GROUP"
5.789999961853027,26,"GROUP 1"
1579.52001953125,26,"GROUP 1"
2323.699951171875,26,"GROUP 1"
68.8499984741211,28,"GROUP 2"
108.29000091552734,28,"GROUP 2"
110.29000091552734,28,"GROUP 2"
426.07000732421875,28,"GROUP 2"
1067.5999755859375,28,"GROUP 2"
7.739999771118164,30,"GROUP 3"
17.049999237060547,30,"GROUP 3"
20.459999084472656,30,"GROUP 3"
21.020000457763672,30,"GROUP 3"
22.65999984741211,30,"GROUP 3"
43.400001525878906,30,"GROUP 3"
47.29999923706055,30,"GROUP 3"
139.07000732421875,30,"GROUP 3"
144.1199951171875,30,"GROUP 3"
175.8800048828125,30,"GROUP 3"
194.89999389648438,30,"GROUP 3"
.27000001072883606,32,"GROUP 4"
.4000000059604645,32,"GROUP 4"
.6899999976158142,32,"GROUP 4"
.7900000214576721,32,"GROUP 4"
2.75,32,"GROUP 4"
3.9100000858306885,32,"GROUP 4"
9.880000114440918,32,"GROUP 4"
13.949999809265137,32,"GROUP 4"
15.930000305175781,32,"GROUP 4"
27.799999237060547,32,"GROUP 4"
53.2400016784668,32,"GROUP 4"
82.8499984741211,32,"GROUP 4"
89.29000091552734,32,"GROUP 4"
100.58999633789062,32,"GROUP 4"
215.10000610351562,32,"GROUP 4"
.1899999976158142,34,"GROUP 5"
.7799999713897705,34,"GROUP 5"
.9599999785423279,34,"GROUP 5"
1.309999942779541,34,"GROUP 5"
2.7799999713897705,34,"GROUP 5"
3.1600000858306885,34,"GROUP 5"
4.150000095367432,34,"GROUP 5"
4.670000076293945,34,"GROUP 5"
4.849999904632568,34,"GROUP 5"
6.5,34,"GROUP 5"
7.349999904632568,34,"GROUP 5"
8.010000228881836,34,"GROUP 5"
8.270000457763672,34,"GROUP 5"
12.0600004196167,34,"GROUP 5"
31.75,34,"GROUP 5"
32.52000045776367,34,"GROUP 5"
33.90999984741211,34,"GROUP 5"
36.709999084472656,34,"GROUP 5"
72.88999938964844,34,"GROUP 5"
.3499999940395355,36,"GROUP 6"
.5899999737739563,36,"GROUP 6"
.9599999785423279,36,"GROUP 6"
.9900000095367432,36,"GROUP 6"
1.690000057220459,36,"GROUP 6"
1.9700000286102295,36,"GROUP 6"
2.069999933242798,36,"GROUP 6"
2.5799999237060547,36,"GROUP 6"
2.7100000381469727,36,"GROUP 6"
2.9000000953674316,36,"GROUP 6"
3.6700000762939453,36,"GROUP 6"
3.990000009536743,36,"GROUP 6"
5.349999904632568,36,"GROUP 6"
13.770000457763672,36,"GROUP 6"
25.5,36,"GROUP 6"
.09000000357627869,38,"GROUP 7"
.38999998569488525,38,"GROUP 7"
.4699999988079071,38,"GROUP 7"
.7300000190734863,38,"GROUP 7"
.7400000095367432,38,"GROUP 7"
1.1299999952316284,38,"GROUP 7"
1.399999976158142,38,"GROUP 7"
2.380000114440918,38,"GROUP 7"
