"WEIGHT","STATUS"
24.5,"survived"
26.899999618530273,"survived"
26.899999618530273,"survived"
24.299999237060547,"survived"
24.100000381469727,"survived"
26.5,"survived"
24.600000381469727,"survived"
24.200000762939453,"survived"
23.600000381469727,"survived"
26.200000762939453,"survived"
26.200000762939453,"survived"
24.799999237060547,"survived"
25.399999618530273,"survived"
23.700000762939453,"survived"
25.700000762939453,"survived"
25.700000762939453,"survived"
26.299999237060547,"survived"
26.700000762939453,"survived"
23.899999618530273,"survived"
24.700000762939453,"survived"
28,"survived"
27.899999618530273,"survived"
25.899999618530273,"survived"
25.700000762939453,"survived"
26.600000381469727,"survived"
23.200000762939453,"survived"
25.700000762939453,"survived"
26.299999237060547,"survived"
24.299999237060547,"survived"
26.700000762939453,"survived"
24.899999618530273,"survived"
23.799999237060547,"survived"
25.600000381469727,"survived"
27,"survived"
24.700000762939453,"survived"
26.5,"perished"
26.100000381469727,"perished"
25.600000381469727,"perished"
25.899999618530273,"perished"
25.5,"perished"
27.600000381469727,"perished"
25.799999237060547,"perished"
24.899999618530273,"perished"
26,"perished"
26.5,"perished"
26,"perished"
27.100000381469727,"perished"
25.100000381469727,"perished"
26,"perished"
25.600000381469727,"perished"
25,"perished"
24.600000381469727,"perished"
25,"perished"
26,"perished"
28.299999237060547,"perished"
24.600000381469727,"perished"
27.5,"perished"
31.100000381469727,"perished"
28.299999237060547,"perished"
