"CARBONAT","CALCITE"
21.299999237060547,20.5
23.600000381469727,23.200000762939453
26.700000762939453,27
26.799999237060547,28.700000762939453
27,27.899999618530273
27.100000381469727,27.899999618530273
27.200000762939453,29
27.299999237060547,27.700000762939453
27.5,27.600000381469727
27.600000381469727,29.600000381469727
28,28
28,29.200000762939453
28.200000762939453,27.5
29.299999237060547,28.399999618530273
29.399999618530273,28.5
29.399999618530273,29.299999237060547
29.399999618530273,30
29.5,31
