"FAT","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13"
17.1299991607666,29.239999771118164,29.09000015258789,10.010000228881836,15.109999656677246,14.149999618530273,18.1299991607666,14.15999984741211,10.770000457763672,17.469999313354492,19.34000015258789,12.979999542236328,12.180000305175781,10.670000076293945
17.290000915527344,18.809999465942383,9.649999618530273,11.899999618530273,14.470000267028809,13.890000343322754,13.720000267028809,14.3100004196167,12.369999885559082,17.280000686645508,19.6200008392334,20.25,18.700000762939453,16.899999618530273
23.059999465942383,35.529998779296875,14.15999984741211,12.470000267028809,19.219999313354492,21.260000228881836,18.040000915527344,14.40999984741211,18.350000381469727,18.6299991607666,28.520000457763672,25.959999084472656,14.050000190734863,18.90999984741211
23.299999237060547,26.010000228881836,17.219999313354492,15.210000038146973,19.68000030517578,17.739999771118164,20.940000534057617,21.170000076293945,18.030000686645508,17.489999771118164,20.760000228881836,13.850000381469727,16.8799991607666,17.940000534057617
27.209999084472656,39.4900016784668,26.15999984741211,19.899999618530273,24.969999313354492,27.989999771118164,19.920000076293945,17.989999771118164,21.790000915527344,25.229999542236328,31.520000457763672,32.84000015258789,17.68000030517578,22.40999984741211
28.149999618530273,37.7400016784668,15.600000381469727,20.93000030517578,26.690000534057617,22.979999542236328,19.209999084472656,22.639999389648438,20.440000534057617,23.59000015258789,21.350000381469727,29.770000457763672,18.5,15.9399995803833
36,52.06999969482422,39.13999938964844,40.939998626708984,43.2599983215332,34.650001525878906,36.59000015258789,35.220001220703125,31.899999618530273,40.099998474121094,34.06999969482422,34.650001525878906,23.6200008392334,21.950000762939453
38.45000076293945,44.529998779296875,35.33000183105469,37.650001525878906,38.689998626708984,39.279998779296875,35.560001373291016,31.030000686645508,35.08000183105469,37.88999938964844,39,39.20000076293945,29.399999618530273,29.760000228881836
39.290000915527344,41.7400016784668,32.630001068115234,39.310001373291016,35.189998626708984,44.36000061035156,33.13999938964844,29.75,38.47999954223633,33.869998931884766,41.0099983215332,38.720001220703125,25.1299991607666,29
39.689998626708984,39.63999938964844,20.610000610351562,38.029998779296875,39.060001373291016,31.06999969482422,34.380001068115234,37.689998626708984,32.29999923706055,41.36000061035156,37.2400016784668,37.939998626708984,24.549999237060547,23.649999618530273
40.54999923706055,37.95000076293945,32.29999923706055,31.780000686645508,41.2599983215332,35.689998626708984,32.4900016784668,30.56999969482422,32.599998474121094,42.20000076293945,39.25,44.13999938964844,28.059999465942383,27.020000457763672
43.720001220703125,53.11000061035156,29.290000915527344,36.56999969482422,40.43000030517578,37.52000045776367,45.88999938964844,45.150001525878906,43.7599983215332,45.0099983215332,43.459999084472656,40.029998779296875,29.25,26.420000076293945
