"TIME","COMPOUND"
3.0299999713897705,"I"
5.53000020980835,"I"
5.599999904632568,"I"
9.300000190734863,"I"
9.920000076293945,"I"
12.510000228881836,"I"
12.949999809265137,"I"
15.210000038146973,"I"
16.040000915527344,"I"
16.84000015258789,"I"
3.190000057220459,"II"
4.260000228881836,"II"
4.46999979019165,"II"
4.53000020980835,"II"
4.670000076293945,"II"
4.690000057220459,"II"
5.78000020980835,"II"
6.789999961853027,"II"
9.369999885559082,"II"
12.75,"II"
3.4600000381469727,"III"
5.21999979019165,"III"
5.690000057220459,"III"
6.539999961853027,"III"
9.15999984741211,"III"
9.399999618530273,"III"
10.1899995803833,"III"
10.710000038146973,"III"
12.579999923706055,"III"
13.40999984741211,"III"
5.880000114440918,"IV"
6.739999771118164,"IV"
6.900000095367432,"IV"
6.980000019073486,"IV"
7.210000038146973,"IV"
8.140000343322754,"IV"
8.59000015258789,"IV"
9.800000190734863,"IV"
12.279999732971191,"IV"
25.459999084472656,"IV"
6.429999828338623,"V"
9.970000267028809,"V"
10.390000343322754,"V"
13.550000190734863,"V"
14.449999809265137,"V"
14.720000267028809,"V"
16.809999465942383,"V"
18.389999389648438,"V"
20.84000015258789,"V"
21.510000228881836,"V"
