"FLOWERS","TIME","INTENS"
62.29999923706055,1,150
77.4000015258789,1,150
55.29999923706055,1,300
54.20000076293945,1,300
49.599998474121094,1,450
61.900001525878906,1,450
39.400001525878906,1,600
45.70000076293945,1,600
31.299999237060547,1,750
44.900001525878906,1,750
36.79999923706055,1,900
41.900001525878906,1,900
77.80000305175781,2,150
75.5999984741211,2,150
69.0999984741211,2,300
78,2,300
57,2,450
71.0999984741211,2,450
62.900001525878906,2,600
52.20000076293945,2,600
60.29999923706055,2,750
45.599998474121094,2,750
52.599998474121094,2,900
44.400001525878906,2,900
