"WEEK","PATCH","NOCUT"
1,-1.3200000524520874,-1.2100000381469727
4,-2.0199999809265137,-1.909999966621399
7,-2.0199999809265137,-1.909999966621399
10,.18000000715255737,-1.909999966621399
13,-.9200000166893005,-1.2100000381469727
16,-2.0199999809265137,-1.909999966621399
19,-.9200000166893005,-.8100000023841858
22,-.6299999952316284,-.10999999940395355
25,-.2199999988079071,-.10999999940395355
28,-.2199999988079071,-.10999999940395355
31,-.9200000166893005,-.30000001192092896
34,-.6299999952316284,-.5199999809265137
37,-.9200000166893005,-1.2100000381469727
40,-2.0199999809265137,-1.909999966621399
43,-.07000000029802322,-.5199999809265137
46,1.0299999713897705,-1.909999966621399
49,1.159999966621399,-.8100000023841858
52,1.4500000476837158,-.8100000023841858
55,.6899999976158142,-.8100000023841858
58,1.2000000476837158,-1.2100000381469727
61,1.3200000524520874,-1.2100000381469727
64,1.4199999570846558,.6600000262260437
67,2.009999990463257,1.2300000190734863
70,2.2699999809265137,1.350000023841858
73,1.350000023841858,1.350000023841858
76,-.07000000029802322,1.190000057220459
79,-.4099999964237213,1.649999976158142
82,-.9200000166893005,2.140000104904175
85,-.2199999988079071,1.649999976158142
88,-.9200000166893005,1.559999942779541
91,-1.3200000524520874,1.350000023841858
94,1.1200000047683716,.6600000262260437
97,1.940000057220459,1.0399999618530273
100,2.009999990463257,.5799999833106995
103,2.7799999713897705,1.4600000381469727
106,2.740000009536743,.28999999165534973
109,1.7000000476837158,-.30000001192092896
112,.7599999904632568,.49000000953674316
115,.550000011920929,1.2300000190734863
118,-.9200000166893005,.800000011920929
121,-1.3200000524520874,1.190000057220459
124,1.350000023841858,1.090000033378601
127,-2.0199999809265137,1.2699999809265137
130,-2.0199999809265137,.03999999910593033
133,-.4099999964237213,.9800000190734863
136,-.9200000166893005,1.4600000381469727
139,-.6299999952316284,.28999999165534973
142,-1.3200000524520874,.7300000190734863
145,.6200000047683716,-.30000001192092896
148,.6200000047683716,-.8100000023841858
151,1.75,-.5199999809265137
154,2.4600000381469727,.28999999165534973
157,2.430000066757202,-.5199999809265137
160,-.4099999964237213,-1.2100000381469727
163,-.4099999964237213,.03999999910593033
166,1.2000000476837158,-.30000001192092896
169,.3799999952316284,1.649999976158142
172,.4699999988079071,1.1399999856948853
175,2.0799999237060547,.9800000190734863
178,.9300000071525574,1.090000033378601
181,-.4099999964237213,.6600000262260437
184,.18000000715255737,.800000011920929
187,-.6299999952316284,1.309999942779541
190,-.4099999964237213,1.190000057220459
193,-2.0199999809265137,.28999999165534973
196,-.07000000029802322,-.8100000023841858
199,-1.3200000524520874,-1.2100000381469727
202,.7599999904632568,-.8100000023841858
205,-.07000000029802322,-1.2100000381469727
208,.8199999928474426,-1.2100000381469727
211,-.6299999952316284,-1.2100000381469727
214,.9800000190734863,1.0399999618530273
217,-2.0199999809265137,.800000011920929
220,-.4099999964237213,.03999999910593033
223,-.9200000166893005,.28999999165534973
226,.05999999865889549,.6600000262260437
229,-.4099999964237213,.9800000190734863
232,-2.0199999809265137,-.5199999809265137
235,-.4099999964237213,.49000000953674316
238,-1.3200000524520874,-.8100000023841858
241,-2.0199999809265137,-.8100000023841858
244,-1.3200000524520874,-.8100000023841858
247,-.9200000166893005,-1.2100000381469727
250,.28999999165534973,-1.2100000381469727
253,.18000000715255737,-1.909999966621399
256,.18000000715255737,-.10999999940395355
259,.28999999165534973,-.8100000023841858
262,.6200000047683716,-.5199999809265137
